Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 18, 2020","May 11, 2020",Class Workout,190,0,1380,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438453
"Nov. 18, 2020","May 10, 2020",Indoor Sport / Other Activity,93,0,1070,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438951
"Nov. 18, 2020","May 10, 2020",Run,1295,15.579254592000002,5606,5.997288336117076,3.0148308876163203,10.00451916288,19.9016307072,,15164,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978438666
"Nov. 18, 2020","May 7, 2020",Indoor Sport / Other Activity,102,0,1171,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978439374
"Nov. 18, 2020","May 7, 2020",Run,286,3.4056133056000006,1294,6.332704505686789,2.8309360832736816,9.47465874432,21.1944167424,,3479,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978439215
"Nov. 18, 2020","April 30, 2020",Indoor Sport / Other Activity,117,0,1343,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978439665
"Nov. 18, 2020","April 30, 2020",Run,1545,18.709911475200002,6555,5.839174222540364,2.3065298655849835,10.27543613184,26.013114547199997,,17787,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978439536
"Nov. 18, 2020","April 28, 2020",Indoor Sport / Other Activity,84,0,957,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440073
"Nov. 18, 2020","April 28, 2020",Run,1544,18.8087251968,6444,5.710127853336514,1.6575387238527002,10.507648377599999,36.19816992,,17532,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978439971
"Nov. 18, 2020","April 26, 2020",Run,1273,15.57590715648,5237,5.60374289151356,3.0065417959118745,10.7071265664,19.956509337599996,,14281,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440211
"Nov. 18, 2020","April 22, 2020",Class Workout,432,0,3133,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440289
"Nov. 18, 2020","April 21, 2020",Indoor Sport / Other Activity,92,0,1049,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440526
"Nov. 18, 2020","April 21, 2020",Run,1263,15.52337816832,5128,5.505678089954665,2.9989362125188896,10.897849923839999,20.0070427392,,14015,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440448
"Nov. 18, 2020","April 18, 2020",Indoor Sport / Other Activity,110,0,1259,0,0,0,0,,,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978441021
"Nov. 18, 2020","April 18, 2020",Run,1314,16.1145224064,5363,5.546763153185397,1.9621224548635965,10.817125228799998,30.579145344,,14643,b'',Endomondo ,http://www.mapmyfitness.com/workout/4978440895
