Entity,Code,Date,parks
Venezuela,VEN,2020-02-25,15.143
Venezuela,VEN,2020-02-26,14.571
Venezuela,VEN,2020-02-27,13.857
Venezuela,VEN,2020-02-28,13.143
Venezuela,VEN,2020-02-29,12.143
Venezuela,VEN,2020-03-01,7.286
Venezuela,VEN,2020-03-02,2.857
Venezuela,VEN,2020-03-03,2.857
Venezuela,VEN,2020-03-04,3.571
Venezuela,VEN,2020-03-05,3.714
Venezuela,VEN,2020-03-06,3.714
Venezuela,VEN,2020-03-07,3.143
Venezuela,VEN,2020-03-08,3.429
Venezuela,VEN,2020-03-09,3.286
Venezuela,VEN,2020-03-10,3
Venezuela,VEN,2020-03-11,3.571
Venezuela,VEN,2020-03-12,3.714
Venezuela,VEN,2020-03-13,3.286
Venezuela,VEN,2020-03-14,1.571
Venezuela,VEN,2020-03-15,-2.143
Venezuela,VEN,2020-03-16,-7
Venezuela,VEN,2020-03-17,-13.286
Venezuela,VEN,2020-03-18,-21.143
Venezuela,VEN,2020-03-19,-29.143
Venezuela,VEN,2020-03-20,-36.714
Venezuela,VEN,2020-03-21,-43.286
Venezuela,VEN,2020-03-22,-48.286
Venezuela,VEN,2020-03-23,-51.571
Venezuela,VEN,2020-03-24,-53.286
Venezuela,VEN,2020-03-25,-54.286
Venezuela,VEN,2020-03-26,-54.571
Venezuela,VEN,2020-03-27,-54.857
Venezuela,VEN,2020-03-28,-54.571
Venezuela,VEN,2020-03-29,-54.429
Venezuela,VEN,2020-03-30,-54.286
Venezuela,VEN,2020-03-31,-54
Venezuela,VEN,2020-04-01,-53.857
Venezuela,VEN,2020-04-02,-54
Venezuela,VEN,2020-04-03,-54
Venezuela,VEN,2020-04-04,-54.429
Venezuela,VEN,2020-04-05,-54.571
Venezuela,VEN,2020-04-06,-54.429
Venezuela,VEN,2020-04-07,-54.429
Venezuela,VEN,2020-04-08,-54
Venezuela,VEN,2020-04-09,-54.286
Venezuela,VEN,2020-04-10,-55.286
Venezuela,VEN,2020-04-11,-55.571
Venezuela,VEN,2020-04-12,-55.714
Venezuela,VEN,2020-04-13,-55.429
Venezuela,VEN,2020-04-14,-55
Venezuela,VEN,2020-04-15,-55
Venezuela,VEN,2020-04-16,-54.143
Venezuela,VEN,2020-04-17,-52.714
Venezuela,VEN,2020-04-18,-52.143
Venezuela,VEN,2020-04-19,-52
Venezuela,VEN,2020-04-20,-52.143
Venezuela,VEN,2020-04-21,-52.429
Venezuela,VEN,2020-04-22,-52.571
Venezuela,VEN,2020-04-23,-52.714
Venezuela,VEN,2020-04-24,-52.857
Venezuela,VEN,2020-04-25,-52.571
Venezuela,VEN,2020-04-26,-52.143
Venezuela,VEN,2020-04-27,-52
Venezuela,VEN,2020-04-28,-51.429
Venezuela,VEN,2020-04-29,-50.857
Venezuela,VEN,2020-04-30,-50.143
Venezuela,VEN,2020-05-01,-50.143
Venezuela,VEN,2020-05-02,-49.714
Venezuela,VEN,2020-05-03,-49.571
Venezuela,VEN,2020-05-04,-49
Venezuela,VEN,2020-05-05,-48.714
Venezuela,VEN,2020-05-06,-48.286
Venezuela,VEN,2020-05-07,-47.857
Venezuela,VEN,2020-05-08,-46.714
Venezuela,VEN,2020-05-09,-45.429
Venezuela,VEN,2020-05-10,-43.571
Venezuela,VEN,2020-05-11,-43.571
Venezuela,VEN,2020-05-12,-43.286
Venezuela,VEN,2020-05-13,-43.429
Venezuela,VEN,2020-05-14,-43.714
Venezuela,VEN,2020-05-15,-43.571
Venezuela,VEN,2020-05-16,-43.857
Venezuela,VEN,2020-05-17,-45.143
Venezuela,VEN,2020-05-18,-44.429
Venezuela,VEN,2020-05-19,-44.143
Venezuela,VEN,2020-05-20,-43.857
Venezuela,VEN,2020-05-21,-43.571
Venezuela,VEN,2020-05-22,-43.714
Venezuela,VEN,2020-05-23,-43.857
Venezuela,VEN,2020-05-24,-43.857
Venezuela,VEN,2020-05-25,-44.143
Venezuela,VEN,2020-05-26,-44.429
Venezuela,VEN,2020-05-27,-44.857
Venezuela,VEN,2020-05-28,-44.857
Venezuela,VEN,2020-05-29,-44.429
Venezuela,VEN,2020-05-30,-44.429
Venezuela,VEN,2020-05-31,-44.571
Venezuela,VEN,2020-06-01,-43.571
Venezuela,VEN,2020-06-02,-42.286
Venezuela,VEN,2020-06-03,-40.429
Venezuela,VEN,2020-06-04,-39
Venezuela,VEN,2020-06-05,-38.143
Venezuela,VEN,2020-06-06,-37
Venezuela,VEN,2020-06-07,-35.571
Venezuela,VEN,2020-06-08,-35.857
Venezuela,VEN,2020-06-09,-36.286
Venezuela,VEN,2020-06-10,-36.857
Venezuela,VEN,2020-06-11,-37.143
Venezuela,VEN,2020-06-12,-37
Venezuela,VEN,2020-06-13,-36.857
Venezuela,VEN,2020-06-14,-36.571
Venezuela,VEN,2020-06-15,-35.143
Venezuela,VEN,2020-06-16,-33.857
Venezuela,VEN,2020-06-17,-32.429
Venezuela,VEN,2020-06-18,-31.571
Venezuela,VEN,2020-06-19,-30.429
Venezuela,VEN,2020-06-20,-29
Venezuela,VEN,2020-06-21,-27.571
Venezuela,VEN,2020-06-22,-30.143
Venezuela,VEN,2020-06-23,-31.857
Venezuela,VEN,2020-06-24,-34.429
Venezuela,VEN,2020-06-25,-36.143
Venezuela,VEN,2020-06-26,-38.286
Venezuela,VEN,2020-06-27,-40.571
Venezuela,VEN,2020-06-28,-42.857
Venezuela,VEN,2020-06-29,-40.714
Venezuela,VEN,2020-06-30,-39.143
Venezuela,VEN,2020-07-01,-37
Venezuela,VEN,2020-07-02,-35.429
Venezuela,VEN,2020-07-03,-34
Venezuela,VEN,2020-07-04,-32.571
Venezuela,VEN,2020-07-05,-31.571
Venezuela,VEN,2020-07-06,-32.857
Venezuela,VEN,2020-07-07,-34.714
Venezuela,VEN,2020-07-08,-35.857
Venezuela,VEN,2020-07-09,-37
Venezuela,VEN,2020-07-10,-38.286
Venezuela,VEN,2020-07-11,-39.714
Venezuela,VEN,2020-07-12,-40.714
Venezuela,VEN,2020-07-13,-39
Venezuela,VEN,2020-07-14,-37
Venezuela,VEN,2020-07-15,-36.143
Venezuela,VEN,2020-07-16,-35.143
Venezuela,VEN,2020-07-17,-33.857
Venezuela,VEN,2020-07-18,-32.286
Venezuela,VEN,2020-07-19,-30.714
Venezuela,VEN,2020-07-20,-32.571
Venezuela,VEN,2020-07-21,-34.143
Venezuela,VEN,2020-07-22,-34.857
Venezuela,VEN,2020-07-23,-35.714
Venezuela,VEN,2020-07-24,-37.429
Venezuela,VEN,2020-07-25,-39.143
Venezuela,VEN,2020-07-26,-40.857
Venezuela,VEN,2020-07-27,-39.429
Venezuela,VEN,2020-07-28,-38
Venezuela,VEN,2020-07-29,-37.143
Venezuela,VEN,2020-07-30,-36.714
Venezuela,VEN,2020-07-31,-35
Venezuela,VEN,2020-08-01,-33.857
Venezuela,VEN,2020-08-02,-33.143
Venezuela,VEN,2020-08-03,-34.429
Venezuela,VEN,2020-08-04,-35.571
Venezuela,VEN,2020-08-05,-36.571
Venezuela,VEN,2020-08-06,-37.143
Venezuela,VEN,2020-08-07,-38.143
Venezuela,VEN,2020-08-08,-39.143
Venezuela,VEN,2020-08-09,-39.571
Venezuela,VEN,2020-08-10,-37.857
Venezuela,VEN,2020-08-11,-36.429
Venezuela,VEN,2020-08-12,-35
Venezuela,VEN,2020-08-13,-33.714
Venezuela,VEN,2020-08-14,-32.429
Venezuela,VEN,2020-08-15,-30.857
Venezuela,VEN,2020-08-16,-30
Venezuela,VEN,2020-08-17,-31.714
Venezuela,VEN,2020-08-18,-33.571
Venezuela,VEN,2020-08-19,-35
Venezuela,VEN,2020-08-20,-36.429
Venezuela,VEN,2020-08-21,-37.857
Venezuela,VEN,2020-08-22,-39.286
Venezuela,VEN,2020-08-23,-40.286
