number-of-people	living-voivodeship	living-county	living-municipality	working-voivodeship	working-county	working-municipality
17	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
58	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Podkarpackie	Powiat m.Tarnobrzeg	Tarnobrzeg
13	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat sandomierski	Sandomierz
14	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat sandomierski	Łoniów
106	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Osiek - miasto
113	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Połaniec - miasto
73	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski
23	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Rytwiany
143	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Staszów - miasto
70	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
16	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski	Świętokrzyskie	Powiat m.Kielce	Kielce
10	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Dolnośląskie	Powiat m.Legnica	Legnica
34	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Małopolskie	Powiat m.Kraków	Kraków
53	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
13	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Podkarpackie	Powiat kolbuszowski	Kolbuszowa - obszar wiejski
11	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Podkarpackie	Powiat m.Tarnobrzeg	Tarnobrzeg
11	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat buski	Pacanów
13	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat buski	Tuczępy
23	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Łubnice
12	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski
337	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski
35	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Rytwiany
164	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Staszów - miasto
72	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
48	Świętokrzyskie	Powiat staszowski	Połaniec - miasto	Świętokrzyskie	Powiat m.Kielce	Kielce
208	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski	Świętokrzyskie	Powiat staszowski	Połaniec - miasto
17	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski	Świętokrzyskie	Powiat staszowski	Rytwiany
38	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski	Świętokrzyskie	Powiat staszowski	Staszów - miasto
24	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
15	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski	Świętokrzyskie	Powiat m.Kielce	Kielce
10	Świętokrzyskie	Powiat staszowski	Rytwiany	Małopolskie	Powiat m.Kraków	Kraków
19	Świętokrzyskie	Powiat staszowski	Rytwiany	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
12	Świętokrzyskie	Powiat staszowski	Rytwiany	Podkarpackie	Powiat m.Rzeszów	Rzeszów
18	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat buski	Tuczępy
95	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat staszowski	Połaniec - miasto
71	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski
346	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat staszowski	Staszów - miasto
126	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
51	Świętokrzyskie	Powiat staszowski	Rytwiany	Świętokrzyskie	Powiat m.Kielce	Kielce
14	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Dolnośląskie	Powiat m.Wrocław	Wrocław
44	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Małopolskie	Powiat m.Kraków	Kraków
58	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
36	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Podkarpackie	Powiat m.Rzeszów	Rzeszów
15	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Podkarpackie	Powiat m.Tarnobrzeg	Tarnobrzeg
141	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat buski	Tuczępy
20	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat opatowski	Baćkowice
16	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat sandomierski	Sandomierz
18	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Bogoria
14	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Osiek - miasto
135	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Połaniec - miasto
92	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski
63	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Rytwiany
552	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
21	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat staszowski	Szydłów
100	Świętokrzyskie	Powiat staszowski	Staszów - miasto	Świętokrzyskie	Powiat m.Kielce	Kielce
20	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Małopolskie	Powiat m.Kraków	Kraków
45	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
27	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Podkarpackie	Powiat m.Rzeszów	Rzeszów
26	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Podkarpackie	Powiat m.Tarnobrzeg	Tarnobrzeg
41	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat buski	Tuczępy
11	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat sandomierski	Sandomierz
15	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Bogoria
12	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Osiek - miasto
11	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Osiek - obszar wiejski
44	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Połaniec - miasto
34	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Połaniec - obszar wiejski
43	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Rytwiany
764	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Staszów - miasto
20	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat staszowski	Szydłów
55	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski	Świętokrzyskie	Powiat m.Kielce	Kielce
10	Świętokrzyskie	Powiat staszowski	Szydłów	Świętokrzyskie	Powiat buski	Gnojno
87	Świętokrzyskie	Powiat staszowski	Szydłów	Świętokrzyskie	Powiat staszowski	Staszów - miasto
62	Świętokrzyskie	Powiat staszowski	Szydłów	Świętokrzyskie	Powiat staszowski	Staszów - obszar wiejski
55	Świętokrzyskie	Powiat staszowski	Szydłów	Świętokrzyskie	Powiat m.Kielce	Kielce
11	Świętokrzyskie	Powiat włoszczowski	Kluczewsko	Łódzkie	Powiat radomszczański	Wielgomłyny
14	Świętokrzyskie	Powiat włoszczowski	Kluczewsko	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
295	Świętokrzyskie	Powiat włoszczowski	Kluczewsko	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
10	Świętokrzyskie	Powiat włoszczowski	Kluczewsko	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski
29	Świętokrzyskie	Powiat włoszczowski	Kluczewsko	Świętokrzyskie	Powiat m.Kielce	Kielce
27	Świętokrzyskie	Powiat włoszczowski	Krasocin	Dolnośląskie	Powiat m.Wrocław	Wrocław
15	Świętokrzyskie	Powiat włoszczowski	Krasocin	Kujawsko-pomorskie	Powiat bydgoski	Solec Kujawski - miasto
24	Świętokrzyskie	Powiat włoszczowski	Krasocin	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
31	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat jędrzejowski	Małogoszcz - miasto
22	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat kielecki	Chęciny - miasto
27	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat kielecki	Łopuszno
18	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat kielecki	Strawczyn
387	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
21	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski
178	Świętokrzyskie	Powiat włoszczowski	Krasocin	Świętokrzyskie	Powiat m.Kielce	Kielce
29	Świętokrzyskie	Powiat włoszczowski	Moskorzew	Śląskie	Powiat zawierciański	Szczekociny - miasto
12	Świętokrzyskie	Powiat włoszczowski	Moskorzew	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
13	Świętokrzyskie	Powiat włoszczowski	Moskorzew	Świętokrzyskie	Powiat m.Kielce	Kielce
14	Świętokrzyskie	Powiat włoszczowski	Radków	Śląskie	Powiat zawierciański	Szczekociny - miasto
78	Świętokrzyskie	Powiat włoszczowski	Radków	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
14	Świętokrzyskie	Powiat włoszczowski	Secemin	Mazowieckie	Powiat kozienicki	Kozienice - obszar wiejski
41	Świętokrzyskie	Powiat włoszczowski	Secemin	Śląskie	Powiat częstochowski	Koniecpol - miasto
24	Świętokrzyskie	Powiat włoszczowski	Secemin	Śląskie	Powiat zawierciański	Szczekociny - miasto
48	Świętokrzyskie	Powiat włoszczowski	Secemin	Śląskie	Powiat m.Częstochowa	Częstochowa
17	Świętokrzyskie	Powiat włoszczowski	Secemin	Śląskie	Powiat m.Katowice	Katowice
130	Świętokrzyskie	Powiat włoszczowski	Secemin	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
19	Świętokrzyskie	Powiat włoszczowski	Secemin	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski
54	Świętokrzyskie	Powiat włoszczowski	Secemin	Świętokrzyskie	Powiat m.Kielce	Kielce
11	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Małopolskie	Powiat m.Kraków	Kraków
37	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
22	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
27	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Świętokrzyskie	Powiat włoszczowski	Krasocin
67	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski
105	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto	Świętokrzyskie	Powiat m.Kielce	Kielce
15	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Śląskie	Powiat częstochowski	Koniecpol - miasto
13	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Śląskie	Powiat m.Częstochowa	Częstochowa
22	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
14	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Świętokrzyskie	Powiat włoszczowski	Krasocin
1009	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
105	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - obszar wiejski	Świętokrzyskie	Powiat m.Kielce	Kielce
13	Świętokrzyskie	Powiat m.Kielce	Kielce	Dolnośląskie	Powiat wrocławski	Kobierzyce
93	Świętokrzyskie	Powiat m.Kielce	Kielce	Dolnośląskie	Powiat m.Wrocław	Wrocław
32	Świętokrzyskie	Powiat m.Kielce	Kielce	Lubelskie	Powiat m.Lublin	Lublin
49	Świętokrzyskie	Powiat m.Kielce	Kielce	Łódzkie	Powiat m.Łódź	Łódź
28	Świętokrzyskie	Powiat m.Kielce	Kielce	Łódzkie	Powiat m.Piotrków Trybunalski	Piotrków Trybunalski
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Małopolskie	Powiat krakowski	Zabierzów
281	Świętokrzyskie	Powiat m.Kielce	Kielce	Małopolskie	Powiat m.Kraków	Kraków
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Małopolskie	Powiat m.Tarnów	Tarnów
11	Świętokrzyskie	Powiat m.Kielce	Kielce	Mazowieckie	Powiat piaseczyński	Piaseczno - miasto
16	Świętokrzyskie	Powiat m.Kielce	Kielce	Mazowieckie	Powiat pruszkowski	Pruszków
42	Świętokrzyskie	Powiat m.Kielce	Kielce	Mazowieckie	Powiat m.Radom	Radom
1092	Świętokrzyskie	Powiat m.Kielce	Kielce	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
24	Świętokrzyskie	Powiat m.Kielce	Kielce	Podkarpackie	Powiat stalowowolski	Stalowa Wola
29	Świętokrzyskie	Powiat m.Kielce	Kielce	Podkarpackie	Powiat m.Rzeszów	Rzeszów
20	Świętokrzyskie	Powiat m.Kielce	Kielce	Podkarpackie	Powiat m.Tarnobrzeg	Tarnobrzeg
12	Świętokrzyskie	Powiat m.Kielce	Kielce	Pomorskie	Powiat m.Gdańsk	Gdańsk
16	Świętokrzyskie	Powiat m.Kielce	Kielce	Pomorskie	Powiat m.Gdynia	Gdynia
10	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Bytom	Bytom
12	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Częstochowa	Częstochowa
25	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Gliwice	Gliwice
36	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Katowice	Katowice
38	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Sosnowiec	Sosnowiec
20	Świętokrzyskie	Powiat m.Kielce	Kielce	Śląskie	Powiat m.Tychy	Tychy
33	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat buski	Busko-Zdrój - miasto
16	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat buski	Tuczępy
75	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat jędrzejowski	Jędrzejów - miasto
48	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat jędrzejowski	Małogoszcz - miasto
10	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat jędrzejowski	Sędziszów - miasto
15	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat jędrzejowski	Sobków
11	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kazimierski	Kazimierza Wielka - miasto
44	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Bieliny
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Bodzentyn - miasto
147	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Chęciny - miasto
49	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Chęciny - obszar wiejski
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Chmielnik - miasto
64	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Daleszyce - miasto
91	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Daleszyce - obszar wiejski
90	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Górno
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Łagów
23	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Łopuszno
169	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Masłów
125	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Miedziana Góra
11	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Mniów
419	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Morawica
13	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Nowa Słupia
347	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Piekoszów
13	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Pierzchnica
10	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Raków
512	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Sitkówka-Nowiny
104	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Strawczyn
91	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat kielecki	Zagnańsk
65	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat konecki	Końskie - miasto
20	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat konecki	Końskie - obszar wiejski
29	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat ostrowiecki	Ostrowiec Świętokrzyski
27	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat pińczowski	Pińczów - miasto
19	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat pińczowski	Pińczów - obszar wiejski
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat sandomierski	Sandomierz
10	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat sandomierski	Dwikozy
165	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat skarżyski	Skarżysko-Kamienna
31	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat skarżyski	Łączna
20	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat skarżyski	Suchedniów - miasto
14	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat skarżyski	Suchedniów - obszar wiejski
62	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat starachowicki	Starachowice
13	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat staszowski	Staszów - miasto
16	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat staszowski	Szydłów
21	Świętokrzyskie	Powiat m.Kielce	Kielce	Świętokrzyskie	Powiat włoszczowski	Włoszczowa - miasto
48	Świętokrzyskie	Powiat m.Kielce	Kielce	Wielkopolskie	Powiat m.Poznań	Poznań
54	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
10	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Pomorskie	Powiat m.Gdańsk	Gdańsk
49	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie
198	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
12	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto
33	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie
25	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - miasto
22	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski
18	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat giżycki	Giżycko
14	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat kętrzyński	Korsze - obszar wiejski
28	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat lidzbarski	Lidzbark Warmiński
342	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
39	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
64	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie
26	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat lidzbarski	Lidzbark Warmiński
32	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
15	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
363	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
11	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie
15	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat lidzbarski	Lidzbark Warmiński
183	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
21	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
14	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
10	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski
30	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
22	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
54	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - miasto
18	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski	Warmińsko-mazurskie	Powiat kętrzyński	Reszel - miasto
66	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
21	Warmińsko-mazurskie	Powiat bartoszycki	Bisztynek - obszar wiejski	Zachodniopomorskie	Powiat choszczeński	Pełczyce - obszar wiejski
11	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
136	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
175	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie
28	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat lidzbarski	Lidzbark Warmiński
53	Warmińsko-mazurskie	Powiat bartoszycki	Górowo Iławeckie	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
55	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - miasto	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
37	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - miasto	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
12	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
93	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
15	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski	Warmińsko-mazurskie	Powiat bartoszycki	Bartoszyce
33	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - miasto
67	Warmińsko-mazurskie	Powiat bartoszycki	Sępopol - obszar wiejski	Warmińsko-mazurskie	Powiat m.Olsztyn	Olsztyn
12	Warmińsko-mazurskie	Powiat braniewski	Braniewo	Lubelskie	Powiat m.Lublin	Lublin
53	Warmińsko-mazurskie	Powiat braniewski	Braniewo	Mazowieckie	Powiat m. st. Warszawa	M.st.Warszawa
25	Warmińsko-mazurskie	Powiat braniewski	Braniewo	Pomorskie	Powiat m.Gdańsk	Gdańsk
16	Warmińsko-mazurskie	Powiat braniewski	Braniewo	Pomorskie	Powiat m.Sopot	Sopot
