"","date","pos","artistName","no","color"
"2279",2020-08-15,9,"    Dorian Electra",118,"#FB8072"
"2280",2020-08-15,10,"       Quebonafide",97,"#BC80BD"
"2281",2020-08-16,1,"       Oliver Tree",383,"#80B1D3"
"2282",2020-08-16,2,"        The Weeknd",229,"#80B1D3"
"2283",2020-08-16,3,"     TUZZA Globale",224,"#BC80BD"
"2284",2020-08-16,4,"           PRO8L3M",193,"#FDB462"
"2285",2020-08-16,5,"         clipping.",156,"#D9D9D9"
"2286",2020-08-16,6,"            Bedoes",145,"#FDB462"
"2287",2020-08-16,7,"        Charli XCX",120,"#FCCDE5"
"2288",2020-08-16,8,"     Billie Eilish",119,"#BC80BD"
"2289",2020-08-16,9,"    Dorian Electra",118,"#FB8072"
"2290",2020-08-16,10,"       Quebonafide",97,"#BC80BD"
"2291",2020-08-17,1,"       Oliver Tree",384,"#80B1D3"
"2292",2020-08-17,2,"        The Weeknd",231,"#80B1D3"
"2293",2020-08-17,3,"     TUZZA Globale",224,"#BC80BD"
"2294",2020-08-17,4,"           PRO8L3M",193,"#FDB462"
"2295",2020-08-17,5,"         clipping.",156,"#D9D9D9"
"2296",2020-08-17,6,"            Bedoes",145,"#FDB462"
"2297",2020-08-17,7,"        Charli XCX",121,"#FCCDE5"
"2298",2020-08-17,8,"    Dorian Electra",120,"#FB8072"
"2299",2020-08-17,9,"     Billie Eilish",119,"#BC80BD"
"2300",2020-08-17,10,"     Glass Animals",97,"#FFED6F"
"2301",2020-08-18,1,"       Oliver Tree",384,"#80B1D3"
"2302",2020-08-18,2,"        The Weeknd",231,"#80B1D3"
"2303",2020-08-18,3,"     TUZZA Globale",224,"#BC80BD"
"2304",2020-08-18,4,"           PRO8L3M",193,"#FDB462"
"2305",2020-08-18,5,"         clipping.",156,"#D9D9D9"
"2306",2020-08-18,6,"            Bedoes",145,"#FDB462"
"2307",2020-08-18,7,"        Charli XCX",121,"#FCCDE5"
"2308",2020-08-18,8,"    Dorian Electra",120,"#FB8072"
"2309",2020-08-18,9,"     Billie Eilish",119,"#BC80BD"
"2310",2020-08-18,10,"     Glass Animals",97,"#FFED6F"
"2311",2020-08-19,1,"       Oliver Tree",384,"#80B1D3"
"2312",2020-08-19,2,"        The Weeknd",231,"#80B1D3"
"2313",2020-08-19,3,"     TUZZA Globale",224,"#BC80BD"
"2314",2020-08-19,4,"           PRO8L3M",193,"#FDB462"
"2315",2020-08-19,5,"         clipping.",156,"#D9D9D9"
"2316",2020-08-19,6,"            Bedoes",145,"#FDB462"
"2317",2020-08-19,7,"        Charli XCX",121,"#FCCDE5"
"2318",2020-08-19,8,"    Dorian Electra",120,"#FB8072"
"2319",2020-08-19,9,"     Billie Eilish",119,"#BC80BD"
"2320",2020-08-19,10,"     Glass Animals",97,"#FFED6F"
"2321",2020-08-20,1,"       Oliver Tree",384,"#80B1D3"
"2322",2020-08-20,2,"        The Weeknd",233,"#80B1D3"
"2323",2020-08-20,3,"     TUZZA Globale",227,"#BC80BD"
"2324",2020-08-20,4,"           PRO8L3M",195,"#FDB462"
"2325",2020-08-20,5,"         clipping.",156,"#D9D9D9"
"2326",2020-08-20,6,"            Bedoes",145,"#FDB462"
"2327",2020-08-20,7,"        Charli XCX",122,"#FCCDE5"
"2328",2020-08-20,8,"    Dorian Electra",120,"#FB8072"
"2329",2020-08-20,9,"     Billie Eilish",119,"#BC80BD"
"2330",2020-08-20,10,"     Glass Animals",97,"#FFED6F"
"2331",2020-08-21,1,"       Oliver Tree",398,"#80B1D3"
"2332",2020-08-21,2,"        The Weeknd",234,"#80B1D3"
"2333",2020-08-21,3,"     TUZZA Globale",227,"#BC80BD"
"2334",2020-08-21,4,"           PRO8L3M",196,"#FDB462"
"2335",2020-08-21,5,"         clipping.",156,"#D9D9D9"
"2336",2020-08-21,6,"            Bedoes",145,"#FDB462"
"2337",2020-08-21,7,"        Charli XCX",122,"#FCCDE5"
"2338",2020-08-21,8,"    Dorian Electra",120,"#FB8072"
"2339",2020-08-21,9,"     Billie Eilish",119,"#BC80BD"
"2340",2020-08-21,10,"     Glass Animals",97,"#FFED6F"
"2341",2020-08-22,1,"       Oliver Tree",398,"#80B1D3"
"2342",2020-08-22,2,"        The Weeknd",234,"#80B1D3"
"2343",2020-08-22,3,"     TUZZA Globale",229,"#BC80BD"
"2344",2020-08-22,4,"           PRO8L3M",196,"#FDB462"
"2345",2020-08-22,5,"         clipping.",156,"#D9D9D9"
"2346",2020-08-22,6,"            Bedoes",145,"#FDB462"
"2347",2020-08-22,7,"        Charli XCX",122,"#FCCDE5"
"2348",2020-08-22,8,"     Billie Eilish",120,"#BC80BD"
"2349",2020-08-22,9,"    Dorian Electra",120,"#FB8072"
"2350",2020-08-22,10,"       Quebonafide",100,"#BC80BD"
"2351",2020-08-23,1,"       Oliver Tree",398,"#80B1D3"
"2352",2020-08-23,2,"        The Weeknd",234,"#80B1D3"
"2353",2020-08-23,3,"     TUZZA Globale",229,"#BC80BD"
"2354",2020-08-23,4,"           PRO8L3M",196,"#FDB462"
"2355",2020-08-23,5,"         clipping.",156,"#D9D9D9"
"2356",2020-08-23,6,"            Bedoes",145,"#FDB462"
"2357",2020-08-23,7,"        Charli XCX",122,"#FCCDE5"
"2358",2020-08-23,8,"     Billie Eilish",120,"#BC80BD"
"2359",2020-08-23,9,"    Dorian Electra",120,"#FB8072"
"2360",2020-08-23,10,"       Quebonafide",100,"#BC80BD"
"2361",2020-08-24,1,"       Oliver Tree",409,"#80B1D3"
"2362",2020-08-24,2,"        The Weeknd",234,"#80B1D3"
"2363",2020-08-24,3,"     TUZZA Globale",229,"#BC80BD"
"2364",2020-08-24,4,"           PRO8L3M",196,"#FDB462"
